"team_id","abbreviation","display_name","short_name","mascot","nickname","team","color","alternate_color","logo","logo_dark","logos_href_3","logos_href_4"
"1","ATL","Atlanta Hawks","Hawks","Hawks","Atlanta","Atlanta","c8102e","fdb927","https://a.espncdn.com/i/teamlogos/nba/500/atl.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/atl.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/atl.png"
"2","BOS","Boston Celtics","Celtics","Celtics","Boston","Boston","008348","bb9753","https://a.espncdn.com/i/teamlogos/nba/500/bos.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/bos.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/bos.png"
"17","BKN","Brooklyn Nets","Nets","Nets","Brooklyn","Brooklyn","000000","ffffff","https://a.espncdn.com/i/teamlogos/nba/500/bkn.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/bkn.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bkn.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/bkn.png"
"30","CHA","Charlotte Hornets","Hornets","Hornets","Charlotte","Charlotte","008ca8","1d1060","https://a.espncdn.com/i/teamlogos/nba/500/cha.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/cha.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cha.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/cha.png"
"4","CHI","Chicago Bulls","Bulls","Bulls","Chicago","Chicago","ce1141","000000","https://a.espncdn.com/i/teamlogos/nba/500/chi.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/chi.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/chi.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/chi.png"
"5","CLE","Cleveland Cavaliers","Cavaliers","Cavaliers","Cleveland","Cleveland","860038","bc945c","https://a.espncdn.com/i/teamlogos/nba/500/cle.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/cle.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/cle.png"
"6","DAL","Dallas Mavericks","Mavericks","Mavericks","Dallas","Dallas","0064b1","bbc4ca","https://a.espncdn.com/i/teamlogos/nba/500/dal.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/dal.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/dal.png"
"7","DEN","Denver Nuggets","Nuggets","Nuggets","Denver","Denver","0e2240","fec524","https://a.espncdn.com/i/teamlogos/nba/500/den.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/den.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/den.png"
"8","DET","Detroit Pistons","Pistons","Pistons","Detroit","Detroit","1d428a","c8102e","https://a.espncdn.com/i/teamlogos/nba/500/det.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/det.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/det.png"
"9","GS","Golden State Warriors","Warriors","Warriors","Golden State","Golden State","fdb927","1d428a","https://a.espncdn.com/i/teamlogos/nba/500/gs.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/gs.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/gs.png"
"10","HOU","Houston Rockets","Rockets","Rockets","Houston","Houston","ce1141","000000","https://a.espncdn.com/i/teamlogos/nba/500/hou.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/hou.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/hou.png"
"11","IND","Indiana Pacers","Pacers","Pacers","Indiana","Indiana","002d62","fdbb30","https://a.espncdn.com/i/teamlogos/nba/500/ind.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/ind.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/ind.png"
"12","LAC","LA Clippers","Clippers","Clippers","LA","LA","1d428a","c8102e","https://a.espncdn.com/i/teamlogos/nba/500/lac.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/lac.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lac.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/lac.png"
"13","LAL","Los Angeles Lakers","Lakers","Lakers","Los Angeles","Los Angeles","552583","fdb927","https://a.espncdn.com/i/teamlogos/nba/500/lal.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/lal.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/lal.png"
"29","MEM","Memphis Grizzlies","Grizzlies","Grizzlies","Memphis","Memphis","5d76a9","12173f","https://a.espncdn.com/i/teamlogos/nba/500/mem.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/mem.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mem.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/mem.png"
"14","MIA","Miami Heat","Heat","Heat","Miami","Miami","98002e","f9a01b","https://a.espncdn.com/i/teamlogos/nba/500/mia.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/mia.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/mia.png"
"15","MIL","Milwaukee Bucks","Bucks","Bucks","Milwaukee","Milwaukee","00471b","eee1c6","https://a.espncdn.com/i/teamlogos/nba/500/mil.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/mil.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/mil.png"
"16","MIN","Minnesota Timberwolves","Timberwolves","Timberwolves","Minnesota","Minnesota","266092","79bc43","https://a.espncdn.com/i/teamlogos/nba/500/min.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/min.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/min.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/min.png"
"3","NO","New Orleans Pelicans","Pelicans","Pelicans","New Orleans","New Orleans","0a2240","b4975a","https://a.espncdn.com/i/teamlogos/nba/500/no.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/no.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/no.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/no.png"
"18","NY","New York Knicks","Knicks","Knicks","New York","New York","1d428a","f58426","https://a.espncdn.com/i/teamlogos/nba/500/ny.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/ny.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ny.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/ny.png"
"25","OKC","Oklahoma City Thunder","Thunder","Thunder","Oklahoma City","Oklahoma City","007ac1","ef3b24","https://a.espncdn.com/i/teamlogos/nba/500/okc.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/okc.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/okc.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/okc.png"
"19","ORL","Orlando Magic","Magic","Magic","Orlando","Orlando","0077c0","c4ced4","https://a.espncdn.com/i/teamlogos/nba/500/orl.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/orl.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/orl.png"
"20","PHI","Philadelphia 76ers","76ers","76ers","Philadelphia","Philadelphia","1d428a","e01234","https://a.espncdn.com/i/teamlogos/nba/500/phi.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/phi.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phi.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/phi.png"
"21","PHX","Phoenix Suns","Suns","Suns","Phoenix","Phoenix","29127a","e56020","https://a.espncdn.com/i/teamlogos/nba/500/phx.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/phx.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/phx.png"
"22","POR","Portland Trail Blazers","Trail Blazers","Trail Blazers","Portland","Portland","e03a3e","000000","https://a.espncdn.com/i/teamlogos/nba/500/por.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/por.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/por.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/por.png"
"23","SAC","Sacramento Kings","Kings","Kings","Sacramento","Sacramento","5a2d81","6a7a82","https://a.espncdn.com/i/teamlogos/nba/500/sac.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/sac.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sac.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/sac.png"
"24","SA","San Antonio Spurs","Spurs","Spurs","San Antonio","San Antonio","000000","c4ced4","https://a.espncdn.com/i/teamlogos/nba/500/sa.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/sa.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/sa.png"
"28","TOR","Toronto Raptors","Raptors","Raptors","Toronto","Toronto","d91244","000000","https://a.espncdn.com/i/teamlogos/nba/500/tor.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/tor.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/tor.png"
"26","UTAH","Utah Jazz","Jazz","Jazz","Utah","Utah","000000","fff21f","https://a.espncdn.com/i/teamlogos/nba/500/utah.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/utah.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/utah.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/utah.png"
"27","WSH","Washington Wizards","Wizards","Wizards","Washington","Washington","e31837","002b5c","https://a.espncdn.com/i/teamlogos/nba/500/wsh.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/wsh.png","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/wsh.png","https://a.espncdn.com/i/teamlogos/nba/500-dark/scoreboard/wsh.png"
